voltage_phase_a,voltage_phase_b,voltage_phase_c,current_phase_a,current_phase_b,current_phase_c,types
26504.22621,2870.88311,-29375.10932,186.283814,-78.79322047,-107.4905935,1
25783.70734,4084.802036,-29868.50938,185.5269869,-72.34457622,-113.1824107,1
25026.54841,5292.916234,-30319.46465,184.5065158,-65.79312636,-118.7133894,1
24233.82539,6493.508909,-30727.3343,183.2238508,-59.14818086,-124.0756699,1
23406.66478,7684.873952,-31091.53873,181.6808147,-52.41918257,-129.2616321,1
22546.24201,8865.318369,-31411.56038,179.8796002,-45.61569375,-134.2639064,1
21653.7798,10033.16468,-31686.94449,177.822767,-38.74738253,-139.0753844,1
20730.54639,11186.75332,-31917.29971,175.5132378,-31.82400916,-143.6892287,1
19777.85373,12324.44497,-32102.29871,172.9542948,-24.85541213,-148.0988827,1
18797.05567,13444.62291,-32241.67858,170.1495743,-17.8514942,-152.2980801,1
17789.54595,14545.6953,-32335.24126,167.1030619,-10.82220833,-156.2808535,1
16756.75632,15626.09747,-32382.85379,163.8190869,-3.777543498,-160.0415434,1
15700.15442,16684.2941,-32384.44852,160.302316,3.272489426,-163.5748054,1
14621.24175,17718.78143,-32340.02317,156.5577467,10.31787196,-166.8756187,1
13521.55149,18728.0894,-32249.64089,152.5907004,17.34859224,-169.9392926,1
12402.64636,19710.78373,-32113.43009,148.4068142,24.35465922,-172.7614735,1
11266.11639,20665.46796,-31931.58436,144.0120339,31.32611689,-175.3381508,1
10113.57666,21590.78543,-31704.36209,139.4126046,38.25305844,-177.6656631,1
8946.664982,22485.42122,-31432.0862,134.6150624,45.1256403,-179.7407027,1
7767.039602,23348.10399,-31115.14359,129.6262248,51.93409616,-181.560321,1
6576.376834,24177.60782,-30753.98466,124.4531813,58.66875082,-183.1219321,1
5376.368675,24972.75395,-30349.12263,119.1032829,65.32003398,-184.4233169,1
4168.720402,25732.41243,-29901.13284,113.5841323,71.87849379,-185.4626261,1
2955.148149,26455.50375,-29410.6519,107.9035724,78.33481034,-186.2383827,1
1737.376469,27141.00035,-28878.37682,102.0696756,84.67980883,-186.7494845,1
517.1358817,27787.9281,-28305.06398,96.09073227,90.90447267,-186.9952049,1
-703.8395839,28395.36768,-27691.5281,89.97523872,96.99995629,-186.975195,1
-1923.814855,28962.4559,-27038.64104,83.73188543,102.9575977,-186.6894831,1
-3141.05628,29488.38687,-26347.33059,77.36954455,108.7689307,-186.1384752,1
-4353.834092,29972.41324,-25618.57915,70.89725731,114.425697,-185.3229544,1
-5560.424867,30413.84717,-24853.4223,64.32422119,119.9198583,-184.2440795,1
-6759.113975,30812.06136,-24052.94738,57.65977684,125.2436068,-182.9033836,1
-7948.198012,31166.48992,-23218.29191,50.91339478,130.3893773,-181.3027721,1
-9125.987224,31476.62919,-22350.64197,44.09466201,135.3498574,-179.4445194,1
-10290.80791,31742.03845,-21451.23054,37.2132683,140.1179979,-177.3312662,1
-11441.00479,31962.34054,-20521.33575,30.27899251,144.6870231,-174.9660156,1
-12574.94338,32137.22239,-19562.27901,23.30168861,149.0504401,-172.3521287,1
-13691.01229,32266.4355,-18575.4232,16.29127174,153.2020483,-169.49332,1
-14787.62552,32349.79623,-17562.17071,9.257704079,157.1359479,-166.393652,1
-15863.22473,32387.18613,-16523.9614,2.210980714,160.8465488,-163.0575296,1
